A B C D E F G
13 13 18 14 19 18 22
13 13 18 14 17 19 22
13 13 18 14 17 18 21
13 13 19 13 15 19 20
13 13 19 13 15 18 22
13 13 19 13 19 19 20
13 13 19 13 19 18 22
13 13 19 13 17 19 22
13 13 19 13 17 18 21
13 13 19 14 15 19 20
13 13 19 14 15 18 22
13 13 19 14 19 19 22
13 13 19 14 19 18 21
13 13 19 14 17 19 22
13 13 19 14 17 18 21
13 13 13 13 15 19 20
13 13 13 13 15 18 22
13 13 13 13 19 19 22
13 13 13 13 19 18 21
13 13 13 13 17 19 22
13 13 13 13 17 18 21
13 13 13 14 15 19 20
13 13 13 14 15 18 22
13 13 13 14 19 19 22
13 13 13 14 19 18 21
13 13 13 14 17 19 22
13 13 13 14 17 18 21
13 13 1914 13 15 19 20
13 13 1914 13 15 18 22
13 13 1914 13 19 19 22
13 13 1914 13 19 18 21
13 13 1914 13 17 19 22
13 13 1914 13 17 18 21
13 13 1914 14 15 19 20
13 13 1914 14 15 18 22
13 13 1914 14 19 19 22
13 13 1914 14 19 18 21
13 13 1914 14 17 19 22
13 13 1914 14 17 18 21
